Fecha  Peso
2014-04-21  76.7
2014-04-22  75.5
2014-04-23  75.1
2014-04-24  75.5
2014-04-25  74.9
2014-04-26  74.5
2014-04-27  75.4
2014-04-28  74.9
2014-04-29  74.0
2014-04-30  74.9
2014-05-01  74.5
2014-05-02  74.4
2014-05-03  75.1
2014-05-04  75.0
2014-05-05  75.3
2014-05-06  74.5
2014-05-07  74.7
2014-05-08  74.8
2014-05-09  74.4
2014-05-10  74.8
2014-05-11  74.5
2014-05-12  75.6
2014-05-13  74.0
2014-05-14  73.7
2014-05-15  73.7
2014-05-16  73.4
2014-05-17  73.3
2014-05-18  74.3
2014-05-19  74.4
2014-05-20  74.6
2014-05-21  74.2
2014-05-22  74.0
2014-05-23  74.0
2014-05-24  73.9
2014-05-25  73.9
2014-05-26  74.7
2014-05-27  74.8
2014-05-28  74.9
2014-05-29  73.7
2014-05-30  73.2
2014-05-31  73.3
2014-06-01  74.4
2014-06-02  74.5
2014-06-03  73.9
2014-06-04  NA
2014-06-05  74.0
2014-06-06  73.1
2014-06-07  73.0
2014-06-08  74.7
2014-06-09  74.2
2014-06-10  73.8
2014-06-11  73.6
2014-06-12  73.6
2014-06-13  73.2
2014-06-14  74.5
2014-06-15  74.2
2014-06-16  74.1
2014-06-17  74.4
2014-06-18  73.7
2014-06-19  73.4
2014-06-20  72.6
2014-06-21  73.6
2014-06-22  73.6
2014-06-23  73.7
2014-06-24  74.0
2014-06-25  73.1
2014-06-26  73.4
2014-06-27  72.6
2014-06-28  73.6
2014-06-29  73.4
2014-06-30  73.3
2014-07-01  73.0
2014-07-02  73.2
2014-07-03  73.2
2014-07-04  73.4
2014-07-05  72.9
2014-07-06  72.9
2014-07-07  73.6
2014-07-08  73.4
2014-07-09  73.1
2014-07-10  73.2
2014-07-11  73.0
2014-07-12  73.9
2014-07-13  73.2
